# maestro2tex monte carlo -- test=mc_bias samples=200
#@ donominal=no numruns=40 sampling=lds section=castalia_pm_25 seed=12345 temp=37 variations=all
#! vbnm			VDC(\"/V_BNM\")
#! vbnc			VDC(\"/V_BNC\")
#! vbpm			VDC(\"/V_BPM\")
#! vbpc			VDC(\"/V_BPC\")
#! idd			abs(IDC(\"/POWER/SRC_VDD25/PLUS\"))
#! vov_n	0.1		(VDC(\"/V_BNC\") - VDC(\"/V_BNM\"))
#! vov_p	0.1		(VDC(\"/V_BPM\") - VDC(\"/V_BPC\"))
#! vsgpm			(VDC(\"/vdd!\") - VDC(\"/V_BPM\"))
0.608508	0.78031	1.80966	1.56811	2.58036e-05	0.171803	0.24155	0.690343
0.57304	0.731859	1.85813	1.62881	2.14052e-05	0.158819	0.229316	0.64187
0.596657	0.761499	1.81362	1.58759	2.34528e-05	0.164843	0.22603	0.68638
0.609832	0.772728	1.83869	1.61421	2.22392e-05	0.162897	0.224475	0.661312
0.578163	0.743424	1.8444	1.60892	2.57675e-05	0.165261	0.235474	0.655603
0.616018	0.765333	1.83395	1.63156	1.89737e-05	0.149314	0.202397	0.666046
0.577689	0.730006	1.82919	1.60527	2.14641e-05	0.152318	0.223927	0.670805
0.612949	0.787014	1.83268	1.60926	2.48712e-05	0.174065	0.223427	0.667315
0.597945	0.781232	1.83615	1.59313	2.96496e-05	0.183287	0.243023	0.663848
0.601744	0.766891	1.82833	1.58503	2.42653e-05	0.165147	0.243301	0.671674
0.666666	0.847649	1.78753	1.54307	2.65804e-05	0.180984	0.244459	0.712474
0.595632	0.755327	1.83694	1.60358	2.30931e-05	0.159695	0.233361	0.663058
0.598854	0.75716	1.82661	1.59777	2.19662e-05	0.158305	0.228848	0.673386
0.580678	0.734565	1.85649	1.64465	2.15994e-05	0.153887	0.211836	0.643512
0.582872	0.735338	1.83985	1.62898	2.04316e-05	0.152466	0.210869	0.66015
0.605338	0.761119	1.862	1.63374	2.36511e-05	0.15578	0.228264	0.638001
0.600306	0.755204	1.85139	1.61432	2.23956e-05	0.154898	0.237063	0.648614
0.622531	0.805747	1.80428	1.5647	2.66133e-05	0.183216	0.23958	0.695721
0.581792	0.736768	1.84069	1.61747	2.18819e-05	0.154975	0.223213	0.659313
0.603478	0.789911	1.80156	1.56442	2.63405e-05	0.186433	0.237142	0.698441
0.600187	0.76409	1.8217	1.59092	2.47827e-05	0.163904	0.230784	0.678296
