x y z
0.3 -0.2 142.3602864
0.3 -0.1 43.67960399
0.3 0 10.29561658
0.3 0.1 -15.15243419
0.3 0.2 -36.03397493
0.3 0.3 -53.50609756
0.3 0.4 -64.35958166
0.3 0.5 -72.17572814
0.3 0.6 -78.27827176
0.3 0.7 -83.28665137
0.3 0.8 -87.53761374
0.3 0.9 -91.23388594
0.3 1 -94.50674774
0.3 1.1 -97.44597856
0.3 1.2 -100.1156303
0.3 1.3 -102.5629702
0.3 1.4 -104.823856
0.3 1.5 -106.9261232
0.3 1.6 -108.8918051
0.3 1.7 -110.7386363
0.3 1.8 -112.4810997
0.3 1.9 -114.1311741
0.3 2 -115.698879
0.3 2.1 -117.192679
0.3 2.2 -118.61979
0.3 2.3 -119.9864123
0.3 2.4 -121.2979134
0.3 2.5 -122.5589703
0.3 2.6 -123.7736834
0.3 2.7 -124.9456674
0.3 2.8 -126.0781256
0.3 2.9 -127.1739098
0.3 3 -128.23557
0.3 3.1 -129.2653962
0.3 3.2 -130.2654519
0.3 3.3 -131.2376036
0.3 3.4 -132.1835452
0.3 3.5 -133.1048186
0.3 3.6 -134.0028312
0.3 3.7 -134.8788718
0.3 3.8 -135.734123
0.3 3.9 -136.5696729
0.3 4 -137.3865249
0.3 4.1 -138.1856064
0.3 4.2 -138.9677762
0.3 4.3 -139.7338312
0.3 4.4 -140.4845122
0.3 4.5 -141.2205093
0.3 4.6 -141.9424662
0.3 4.7 -142.6509842
0.3 4.8 -143.3466263
0.3 4.9 -144.0299199
0.3 5 -144.7013604
0.3 5.1 -145.3614129
0.3 5.2 -146.0105154
0.3 5.3 -146.6490805
0.3 5.4 -147.2774974
0.3 5.5 -147.8961339
0.3 5.6 -148.5053374
0.3 5.7 -149.1054369
0.3 5.8 -149.6967442
0.3 5.9 -150.2795548
0.3 6 -150.8541494
0.3 6.1 -151.4207946
0.3 6.2 -151.9797441
0.3 6.3 -152.5312392
0.3 6.4 -153.0755098
0.3 6.5 -153.6127752
0.3 6.6 -154.1432446
0.3 6.7 -154.6671177
0.3 6.8 -155.1845854
0.3 6.9 -155.6958302
0.3 7 -156.2010266
0.3 7.1 -156.700342
0.3 7.2 -157.1939366
0.3 7.3 -157.6819639
0.3 7.4 -158.1645714
0.3 7.5 -158.6419005
0.3 7.6 -159.114087
0.3 7.7 -159.5812615
0.3 7.8 -160.0435496
0.3 7.9 -160.501072
0.3 8 -160.953945
0.4 -8 1445.354275
0.4 -7.9 1443.537723
0.4 -7.8 1441.721334
0.4 -7.7 1439.903891
0.4 -7.6 1438.084156
0.4 -7.5 1436.260865
0.4 -7.4 1434.432718
0.4 -7.3 1432.598375
0.4 -7.2 1430.756445
0.4 -7.1 1428.905479
0.4 -7 1427.043958
0.4 -6.9 1425.170284
0.4 -6.8 1423.282769
0.4 -6.7 1421.379617
0.4 -6.6 1419.458914
0.4 -6.5 1417.518605
0.4 -6.4 1415.556481
0.4 -6.3 1413.570147
0.4 -6.2 1411.557002
0.4 -6.1 1409.514208
0.4 -6 1407.438648
0.4 -5.9 1405.326889
0.4 -5.8 1403.175129
0.4 -5.7 1400.979138
0.4 -5.6 1398.734187
0.4 -5.5 1396.434959
0.4 -5.4 1394.075451
0.4 -5.3 1391.648841
0.4 -5.2 1389.147343
0.4 -5.1 1386.562008
0.4 -5 1383.882497
0.4 -4.9 1381.096788
0.4 -4.8 1378.190809
0.4 -4.7 1375.14798
0.4 -4.6 1371.948633
0.4 -4.5 1368.569268
0.4 -4.4 1364.981616
0.4 -4.3 1361.151429
0.4 -4.2 1357.036957
0.4 -4.1 1352.587018
0.4 -4 1347.738614
0.4 -3.9 1342.414092
0.4 -3.8 1336.517964
0.4 -3.7 1329.933827
0.4 -3.6 1322.522277
0.4 -3.5 1314.121543
0.4 -3.4 1304.553246
0.4 -3.3 1293.6357
0.4 -3.2 1281.204928
0.4 -3.1 1267.138722
0.4 -3 1251.374156
0.4 -2.9 1233.909558
0.4 -2.8 1214.789898
0.4 -2.7 1194.083491
0.4 -2.6 1171.860112
0.4 -2.5 1148.176308
0.4 -2.4 1123.068298
0.4 -2.3 1096.550193
0.4 -2.2 1068.614949
0.4 -2.1 1039.236313
0.4 -2 1008.370775
0.4 -1.9 975.9591337
0.4 -1.8 941.9275636
0.4 -1.7 906.1882027
0.4 -1.6 868.6393196
0.4 -1.5 829.1651355
0.4 -1.4 787.635346
0.4 -1.3 743.9043642
0.4 -1.2 697.8102529
0.4 -1.1 649.1732209
0.4 -1 597.7933993
0.4 -0.9 543.44731
0.4 -0.8 485.8819059
0.4 -0.7 424.8041838
0.4 -0.6 359.8633617
0.4 -0.5 290.6241847
0.4 -0.4 216.5544987
0.4 -0.3 137.2659075
0.4 -0.2 55.65116063
0.4 -0.1 16.38985695
0.4 0 6.350186329
0.4 0.1 -15.06884552
0.4 0.2 -72.42829043
0.4 0.3 -134.1356397
0.4 0.4 -152.142862
0.4 0.5 -162.9395239
0.4 0.6 -170.714213
0.4 0.7 -176.8033031
0.4 0.8 -181.8167673
0.4 0.9 -186.0838505
0.4 1 -189.802561
0.4 1.1 -193.101293
0.4 1.2 -196.0680537
0.4 1.3 -198.765799
0.4 1.4 -201.2411173
0.4 1.5 -203.5294491
