# forward branch, from /home/mseminario2/chips/castalia/simruns/pixtop2_cv/cv_pixtop.dat
# E[V]  i[uA]
0.019529 0.026736
0.023193 0.026695
0.027468 0.026588
0.031131 0.026506
0.035407 0.026421
0.039673 0.026313
0.043337 0.026134
0.047612 0.025951
0.051275 0.025798
0.055550 0.025539
0.059211 0.025343
0.063486 0.024988
0.067151 0.024746
0.071426 0.024245
0.075702 0.023721
0.079346 0.023337
0.083621 0.022557
0.087284 0.022010
0.091559 0.020993
0.095223 0.020250
0.099495 0.018866
0.103159 0.017851
0.107433 0.016060
0.111708 0.013994
0.115373 0.012406
0.119640 0.009554
0.123305 0.007350
0.127578 0.003515
0.131243 0.000580
0.135519 -0.004611
0.139180 -0.008591
0.143456 -0.015510
0.147120 -0.020807
0.151396 -0.030148
0.155632 -0.040345
0.159296 -0.048626
0.163571 -0.063158
0.167234 -0.074647
0.171509 -0.093968
0.175169 -0.108968
0.179445 -0.135151
0.183108 -0.155244
0.187382 -0.190167
0.191658 -0.229855
0.195313 -0.259011
0.199588 -0.312801
0.203253 -0.353539
0.207526 -0.424687
0.211191 -0.478215
0.215462 -0.571195
0.219126 -0.644620
0.223402 -0.761159
0.227676 -0.890916
0.231341 -0.989364
0.235599 -1.160512
0.239262 -1.289363
0.243536 -1.499949
0.247200 -1.657655
0.251475 -1.911687
0.255136 -2.091522
0.259410 -2.407812
0.263684 -2.706331
0.267349 -2.920723
0.271624 -3.287072
0.275280 -3.523845
0.279555 -3.923970
0.283218 -4.174681
0.287493 -4.594013
0.291158 -4.845437
0.295430 -5.267164
0.299705 -5.655932
0.303369 -5.894120
0.307644 -6.255457
0.311310 -6.440440
0.315506 -6.765739
0.319170 -6.908783
0.323443 -7.196812
0.327107 -7.277369
0.331378 -7.491588
0.335653 -7.651602
0.339317 -7.615047
0.343591 -7.696953
0.347256 -7.618590
0.351522 -7.641884
0.355187 -7.519386
0.359462 -7.486821
0.363125 -7.334678
0.367401 -7.260440
0.371062 -7.092378
0.375337 -6.990948
0.379613 -6.864285
0.383277 -6.687674
0.387553 -6.576568
0.391199 -6.398089
0.395474 -6.285588
0.399140 -6.121666
0.403413 -6.006977
0.407078 -5.861008
0.411350 -5.749711
0.415625 -5.631917
0.419288 -5.507671
0.423565 -5.403897
0.427229 -5.292316
0.431497 -5.196573
0.435161 -5.096789
0.439436 -5.007873
0.443101 -4.916716
0.447377 -4.835787
0.451649 -4.756839
0.455314 -4.677327
0.459589 -4.605741
0.463254 -4.533535
0.467532 -4.470084
0.471160 -4.402979
0.475435 -4.341087
0.479099 -4.280692
0.483374 -4.224578
0.487646 -4.170077
0.491311 -4.116826
0.495586 -4.066335
0.499249 -4.016836
